name,coords,isOpen,photo,gallery,description,difficulty,lengthKm,approxTime,surface,watchOut,crossings
214 Kerlingardalsvegur,"[[63.42432, -18.90362], [63.42436, -18.90365], [63.42444, -18.90371], [63.42471, -18.90423], [63.42488, -18.90455], [63.42505, -18.90491], [63.42514, -18.90511], [63.42522, -18.90535], [63.42536, -18.90573], [63.42541, -18.90591], [63.42559, -18.90654], [63.4258, -18.9072], [63.42606, -18.90783], [63.42619, -18.90804], [63.42633, -18.90827], [63.42658, -18.90862], [63.42673, -18.90879], [63.42705, -18.90906], [63.4274, -18.90922], [63.42766, -18.90926], [63.42794, -18.90926], [63.42827, -18.90917], [63.42862, -18.90906], [63.42912, -18.90894], [63.4298, -18.90899], [63.43083, -18.90944], [63.43128, -18.90954], [63.43165, -18.90948], [63.43206, -18.90935], [63.43241, -18.90907], [63.43283, -18.90863], [63.43311, -18.90824], [63.43336, -18.90783], [63.43413, -18.90612], [63.43457, -18.90529], [63.43521, -18.90452], [63.43551, -18.90431], [63.43579, -18.90416], [63.43606, -18.90405], [63.43636, -18.90402], [63.43705, -18.90406], [63.43795, -18.9041], [63.43917, -18.90414], [63.43925, -18.90415], [63.43958, -18.90418], [63.44063, -18.90423], [63.44153, -18.90429], [63.44232, -18.90435], [63.44278, -18.90436], [63.44293, -18.90434], [63.44299, -18.90432], [63.44304, -18.90428], [63.44309, -18.9042], [63.44315, -18.90406], [63.4432, -18.90388], [63.44327, -18.90361], [63.44337, -18.90324], [63.44346, -18.90288], [63.44428, -18.9003], [63.44449, -18.89974], [63.44469, -18.8993], [63.44491, -18.89885], [63.44514, -18.89838], [63.44521, -18.89825], [63.44566, -18.89732], [63.44577, -18.89705], [63.44584, -18.89677], [63.4459, -18.89648], [63.44598, -18.89603], [63.44603, -18.89558], [63.44605, -18.89526], [63.44605, -18.89492], [63.44605, -18.89392], [63.44604, -18.89357], [63.44606, -18.8933], [63.44611, -18.89302], [63.44617, -18.89273], [63.44635, -18.89211], [63.4467, -18.89094], [63.44687, -18.89033], [63.44702, -18.88987], [63.44713, -18.88972], [63.44735, -18.88946], [63.44753, -18.88917], [63.44757, -18.88896], [63.44756, -18.8887], [63.44747, -18.88819], [63.44744, -18.88784], [63.44738, -18.88718], [63.44724, -18.88624], [63.44721, -18.88591], [63.44721, -18.88556], [63.44725, -18.88525], [63.44732, -18.88494], [63.4483, -18.88152], [63.449, -18.87911], [63.44923, -18.87834], [63.44952, -18.87739], [63.44958, -18.87721], [63.44975, -18.8767], [63.44984, -18.87652], [63.45008, -18.87617], [63.45085, -18.8755], [63.45101, -18.87539], [63.45122, -18.87528], [63.45143, -18.87527], [63.45161, -18.8753], [63.45192, -18.87558], [63.4524, -18.876], [63.45255, -18.87603], [63.45292, -18.87584], [63.45323, -18.87547], [63.45338, -18.87521], [63.45368, -18.87472], [63.45394, -18.87425], [63.45525, -18.87198], [63.45579, -18.87117], [63.45629, -18.87071], [63.45655, -18.87058], [63.45697, -18.87044], [63.45742, -18.87027], [63.45775, -18.87027], [63.4579, -18.87033], [63.45807, -18.87048], [63.45836, -18.87078], [63.45858, -18.87108], [63.45883, -18.87138], [63.45913, -18.87181], [63.45948, -18.87237], [63.45971, -18.87294], [63.45991, -18.87348], [63.46004, -18.87391], [63.46017, -18.87436], [63.46042, -18.87499], [63.46055, -18.87524], [63.46079, -18.8756], [63.46106, -18.8759], [63.46132, -18.87602], [63.46176, -18.87606], [63.46222, -18.87597], [63.46267, -18.87608], [63.46325, -18.87619], [63.46342, -18.87619], [63.46362, -18.87633], [63.4639, -18.8767], [63.46416, -18.87739], [63.46434, -18.87822], [63.46437, -18.8785], [63.46445, -18.87928], [63.46446, -18.87998], [63.46441, -18.88082], [63.4644, -18.88152], [63.46437, -18.88185], [63.46433, -18.88243], [63.4643, -18.88276], [63.4641, -18.88356], [63.464, -18.88401], [63.46394, -18.88455], [63.46394, -18.8849], [63.46398, -18.88524], [63.46403, -18.88554], [63.46416, -18.88597], [63.46442, -18.88679], [63.46471, -18.88756], [63.4648, -18.88773], [63.46489, -18.88794], [63.46525, -18.88822], [63.46544, -18.8883], [63.4657, -18.8884], [63.46611, -18.88869], [63.46646, -18.88905], [63.46679, -18.88931], [63.46697, -18.88938], [63.46733, -18.88941], [63.46749, -18.88969], [63.46759, -18.88995], [63.46768, -18.89041], [63.46768, -18.89066], [63.46766, -18.89084], [63.46752, -18.89146], [63.46751, -18.8917], [63.46753, -18.89193], [63.46758, -18.89217], [63.46762, -18.89264], [63.46767, -18.89282], [63.46776, -18.89294], [63.46786, -18.89298], [63.4681, -18.89294], [63.46834, -18.89293], [63.46878, -18.8929], [63.46888, -18.89294], [63.46914, -18.89329], [63.46933, -18.89347], [63.46976, -18.89379], [63.46999, -18.89387], [63.47019, -18.89391], [63.47071, -18.89378], [63.47105, -18.89382], [63.47126, -18.89379], [63.47144, -18.89387], [63.47175, -18.89384], [63.47185, -18.89374], [63.47193, -18.89361], [63.47209, -18.89327], [63.47218, -18.8931], [63.4724, -18.8929], [63.47252, -18.89286], [63.47266, -18.89284], [63.47295, -18.89284], [63.47317, -18.89286], [63.47327, -18.89293], [63.47349, -18.89326], [63.47361, -18.89341], [63.47373, -18.89349], [63.47386, -18.8935], [63.47401, -18.89346], [63.47464, -18.89308], [63.47498, -18.89282], [63.47507, -18.89269], [63.47513, -18.89247], [63.47516, -18.89217], [63.47516, -18.89188], [63.47512, -18.89165], [63.47506, -18.89149], [63.47498, -18.89134], [63.47493, -18.89114], [63.47489, -18.8909], [63.4749, -18.89065], [63.47497, -18.89038], [63.47523, -18.88965], [63.47543, -18.88925], [63.47567, -18.88882], [63.47572, -18.88872], [63.47574, -18.88853], [63.47571, -18.88829], [63.47566, -18.8879], [63.47568, -18.88752], [63.47576, -18.88719], [63.47584, -18.88695], [63.47593, -18.88678], [63.47603, -18.88668], [63.47623, -18.88661], [63.47652, -18.88677], [63.47663, -18.88685], [63.47678, -18.88703], [63.47689, -18.88728], [63.47696, -18.88766], [63.47699, -18.88808], [63.47705, -18.88851], [63.47725, -18.8889], [63.47749, -18.8891], [63.47823, -18.88945], [63.48003, -18.89013], [63.48137, -18.89065], [63.48169, -18.89073], [63.48201, -18.8907], [63.48263, -18.89056], [63.48315, -18.8903], [63.48351, -18.88996], [63.48396, -18.88961], [63.48424, -18.88954], [63.48457, -18.88938], [63.48502, -18.88925], [63.48529, -18.88916], [63.48583, -18.88882], [63.48895, -18.88598], [63.48951, -18.88544], [63.48989, -18.88499], [63.49028, -18.88446], [63.49068, -18.88375], [63.49106, -18.88301], [63.4912, -18.8827], [63.49205, -18.88062], [63.49224, -18.88009], [63.49239, -18.87984], [63.49276, -18.8795], [63.49311, -18.87921], [63.49368, -18.87846], [63.49386, -18.87817], [63.49404, -18.87776], [63.49417, -18.87732], [63.49429, -18.87675], [63.49441, -18.87585], [63.4945, -18.87498], [63.49455, -18.8748], [63.49462, -18.8747], [63.49473, -18.87468], [63.49484, -18.87476], [63.49505, -18.87503], [63.49547, -18.87559], [63.49562, -18.87575], [63.49579, -18.87586], [63.496, -18.87581], [63.49624, -18.87556], [63.49644, -18.87525], [63.49701, -18.87399], [63.49755, -18.8728], [63.49766, -18.87244], [63.49785, -18.87111], [63.4979, -18.87072], [63.498, -18.87045], [63.49808, -18.87029], [63.49822, -18.87012], [63.4984, -18.87001], [63.49865, -18.86996], [63.49902, -18.86992], [63.49941, -18.86998], [63.49996, -18.87006], [63.50048, -18.87004], [63.50115, -18.8697], [63.50181, -18.86915], [63.50204, -18.86893], [63.50228, -18.86854], [63.50236, -18.86834], [63.50269, -18.86752], [63.50308, -18.86596], [63.50309, -18.8654], [63.50297, -18.86495], [63.50268, -18.86439], [63.50183, -18.8633], [63.50181, -18.86317], [63.50187, -18.86304], [63.50196, -18.86299], [63.50234, -18.8629], [63.50268, -18.86283], [63.50332, -18.8629], [63.50358, -18.86271], [63.50368, -18.86258], [63.50385, -18.86221], [63.50401, -18.86175], [63.50411, -18.86141], [63.50421, -18.86089], [63.50431, -18.86011], [63.50436, -18.8595], [63.50442, -18.85851], [63.50445, -18.85822], [63.5045, -18.85793], [63.50459, -18.85771], [63.50469, -18.85756], [63.50497, -18.85732], [63.50527, -18.85714], [63.50574, -18.85727], [63.50622, -18.85752], [63.50635, -18.85757], [63.50645, -18.85762], [63.50653, -18.85775], [63.50688, -18.8586], [63.50719, -18.85913], [63.50792, -18.86016], [63.50864, -18.86119], [63.50888, -18.86153], [63.50956, -18.86262], [63.50999, -18.86334], [63.51021, -18.86359], [63.5105, -18.86384], [63.51097, -18.86426], [63.51132, -18.8646], [63.51186, -18.86506], [63.51233, -18.86546], [63.5128, -18.86579], [63.51318, -18.8661], [63.51354, -18.8664], [63.51388, -18.86665], [63.51405, -18.86675], [63.51418, -18.86683], [63.51437, -18.86683], [63.51459, -18.8668], [63.51517, -18.8667], [63.51526, -18.86673], [63.51535, -18.86677], [63.51536, -18.86678], [63.51543, -18.86683], [63.51549, -18.86689], [63.51555, -18.86696], [63.51561, -18.86706], [63.51567, -18.86716], [63.51573, -18.86728], [63.51578, -18.8674], [63.51583, -18.86754], [63.51612, -18.86876], [63.5162, -18.86946], [63.51628, -18.86997], [63.51639, -18.87045], [63.51662, -18.8711], [63.51689, -18.87149], [63.517, -18.87172], [63.51723, -18.87221], [63.51746, -18.8728], [63.51765, -18.87339], [63.51778, -18.87392], [63.51828, -18.87555], [63.51864, -18.87692], [63.51891, -18.8775], [63.51916, -18.87808], [63.51931, -18.87876], [63.51943, -18.87916], [63.51967, -18.87971], [63.51981, -18.88026], [63.51997, -18.88091], [63.52013, -18.88165], [63.52018, -18.88193], [63.5203, -18.88225], [63.52047, -18.88233], [63.52066, -18.88238], [63.52112, -18.88207], [63.52134, -18.882], [63.52155, -18.88199], [63.52186, -18.88214], [63.52258, -18.88255], [63.52325, -18.88293], [63.52362, -18.88307], [63.52381, -18.88312], [63.52508, -18.88331], [63.52518, -18.88332], [63.52527, -18.88333], [63.52533, -18.88336], [63.5254, -18.8834], [63.52545, -18.88344], [63.52553, -18.88356], [63.52567, -18.88373], [63.52571, -18.88376], [63.52575, -18.88379], [63.52578, -18.8838], [63.52581, -18.88379], [63.52583, -18.88378], [63.52592, -18.88373], [63.5261, -18.8836], [63.52626, -18.88352], [63.52647, -18.88341], [63.52675, -18.88323], [63.52739, -18.88288], [63.52782, -18.88257], [63.52794, -18.8825], [63.52807, -18.88236], [63.52827, -18.8823], [63.52841, -18.88224], [63.52851, -18.88219], [63.52858, -18.88217], [63.52864, -18.88217], [63.52869, -18.8822], [63.52874, -18.88224], [63.52878, -18.88228], [63.52883, -18.88234], [63.52889, -18.88244], [63.52901, -18.88265], [63.52909, -18.88284], [63.52936, -18.88373], [63.52966, -18.88465], [63.52996, -18.88572], [63.53012, -18.88642], [63.53026, -18.88706], [63.53035, -18.88755]]",,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68cffaab46ec38ff17944c81_214-7.JPG,"[""https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68cffaab46ec38ff17944c81_214-7.JPG"", ""https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68cffaabc0c5c8421e5fa341_214-6.JPG"", ""https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68cffaabe0147e3264244e65_214-5.JPG"", ""https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68cffaab37e867e7758c7c3a_214.JPG"", ""https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68cffaab355f0d3b7027884b_214-4.JPG"", ""https://cdn.prod.website-files.com/687ebffd20183c0459d68784/68cffaab3b22d1f981ddfc18_214-3.JPG""]",Panoramic track in Kerlingardalsvegur.,Easy,10.2,2–3 hours,Gravel,Loose stones,
Bjólfur Track,"[[65.23439, -14.09614], [65.23461, -14.09605], [65.23477, -14.09603], [65.23487, -14.09606], [65.23513, -14.09628], [65.23532, -14.09626], [65.2359, -14.09618], [65.23629, -14.09618], [65.2366, -14.09631], [65.23694, -14.0964], [65.23711, -14.09642], [65.23726, -14.09636], [65.23744, -14.09616], [65.23761, -14.09592], [65.23777, -14.09562], [65.23787, -14.09531], [65.23792, -14.09512], [65.23795, -14.09492], [65.23795, -14.09476], [65.23797, -14.09449], [65.23802, -14.09402], [65.23804, -14.0936], [65.23805, -14.093], [65.23806, -14.0928], [65.2381, -14.09211], [65.23812, -14.09078], [65.23815, -14.09048], [65.23826, -14.08989], [65.2383, -14.08961], [65.23836, -14.08945], [65.23849, -14.08932], [65.23876, -14.08903], [65.23892, -14.0888], [65.23901, -14.08874], [65.23911, -14.08878], [65.23947, -14.0891], [65.23958, -14.08921], [65.23974, -14.08921], [65.24004, -14.08935], [65.24033, -14.0894], [65.2404, -14.08946], [65.24047, -14.0896], [65.24052, -14.08978], [65.24058, -14.08984], [65.24068, -14.08984], [65.24091, -14.08981], [65.24102, -14.08981], [65.24112, -14.08987], [65.24127, -14.09003], [65.24142, -14.09033], [65.2416, -14.09063], [65.24187, -14.09113], [65.24193, -14.09119], [65.24202, -14.09116], [65.24213, -14.09105], [65.24227, -14.09082], [65.24254, -14.09013], [65.24276, -14.08974], [65.24282, -14.08959], [65.24286, -14.08937], [65.24292, -14.0891], [65.24302, -14.08884], [65.24347, -14.08807], [65.2436, -14.08786], [65.2437, -14.08763], [65.24431, -14.08625], [65.24435, -14.08611], [65.24444, -14.08508], [65.24448, -14.08442], [65.24454, -14.08401], [65.24462, -14.08357], [65.24475, -14.08325], [65.24486, -14.08298], [65.24503, -14.08269], [65.2453, -14.08252], [65.24551, -14.08237], [65.24569, -14.08218], [65.24586, -14.08194], [65.24595, -14.08172], [65.24602, -14.08159], [65.24614, -14.08134], [65.24644, -14.08097], [65.24651, -14.08089], [65.24656, -14.08076], [65.24667, -14.0805], [65.2467, -14.08034], [65.24668, -14.08011], [65.24666, -14.07989], [65.24665, -14.07963], [65.24669, -14.07939], [65.24685, -14.07899], [65.2471, -14.07863], [65.24718, -14.0785], [65.24724, -14.07838], [65.24732, -14.07791], [65.2475, -14.07692], [65.24758, -14.07678], [65.24772, -14.07656], [65.24781, -14.07641], [65.24789, -14.07629], [65.24795, -14.07608], [65.24818, -14.07507], [65.2484, -14.07415], [65.24845, -14.07389], [65.24852, -14.07346], [65.24858, -14.07331], [65.24868, -14.07317], [65.24888, -14.07304], [65.24906, -14.07289], [65.24918, -14.07273], [65.24928, -14.07252], [65.24933, -14.07231], [65.24942, -14.072], [65.24949, -14.07174], [65.24957, -14.07161], [65.2497, -14.07153], [65.25012, -14.0714], [65.2503, -14.0714], [65.25047, -14.07149], [65.25062, -14.07158], [65.2508, -14.07177], [65.25099, -14.07216], [65.25114, -14.07251], [65.2514, -14.07299], [65.25146, -14.07321], [65.25151, -14.07352], [65.25156, -14.07374], [65.25165, -14.07392], [65.25178, -14.07403], [65.25196, -14.07419], [65.2522, -14.07429], [65.2525, -14.07428], [65.25266, -14.07422], [65.25297, -14.0741], [65.2531, -14.074], [65.25315, -14.07385], [65.2532, -14.07361], [65.25328, -14.07339], [65.25338, -14.07325], [65.25368, -14.07288], [65.25434, -14.07229], [65.25444, -14.07224], [65.25451, -14.07229], [65.25459, -14.07241], [65.2547, -14.07266], [65.25485, -14.07303], [65.25498, -14.07337], [65.25508, -14.07349], [65.25518, -14.07341], [65.25527, -14.07322], [65.25535, -14.07289], [65.25539, -14.07251], [65.25533, -14.0718], [65.25533, -14.07129], [65.25536, -14.07079], [65.25542, -14.07039], [65.25543, -14.07004], [65.25538, -14.06955], [65.25525, -14.06884], [65.25518, -14.06852], [65.25514, -14.06815], [65.25514, -14.06745], [65.2552, -14.0667], [65.2554, -14.0661], [65.25555, -14.06589], [65.25569, -14.06574], [65.25583, -14.06558], [65.25593, -14.06542], [65.25608, -14.06503], [65.25625, -14.06462], [65.25636, -14.06434], [65.25639, -14.06405], [65.2564, -14.06372], [65.25641, -14.06339], [65.25643, -14.0631], [65.25651, -14.06281], [65.25688, -14.06191], [65.25707, -14.06146], [65.25722, -14.06102], [65.25728, -14.06061], [65.25733, -14.06036], [65.25735, -14.06006], [65.25732, -14.0599], [65.25714, -14.05929], [65.25703, -14.05874], [65.25697, -14.05834], [65.25691, -14.05788], [65.2569, -14.05736], [65.25691, -14.05671], [65.25692, -14.05626], [65.25689, -14.05565], [65.2569, -14.05516], [65.25688, -14.0549], [65.25685, -14.0546], [65.25684, -14.0543], [65.25684, -14.05395], [65.25688, -14.05364], [65.25715, -14.05209], [65.25724, -14.05168], [65.25729, -14.05121], [65.25731, -14.05081], [65.25739, -14.05044], [65.25751, -14.04996], [65.25763, -14.04969], [65.2577, -14.0496], [65.2578, -14.04937], [65.25794, -14.04919], [65.25807, -14.04915], [65.25816, -14.04915], [65.25823, -14.04906], [65.25828, -14.04873], [65.25833, -14.04811], [65.25835, -14.04784], [65.25841, -14.04764], [65.25877, -14.04674], [65.25894, -14.04633], [65.2591, -14.04597], [65.25919, -14.04584], [65.25929, -14.04557], [65.25937, -14.04529], [65.25942, -14.0451], [65.25949, -14.04476], [65.25957, -14.0443], [65.25961, -14.04408], [65.25967, -14.04393], [65.2598, -14.04382], [65.25995, -14.04366], [65.26002, -14.04349], [65.26008, -14.04329], [65.26015, -14.04291], [65.2602, -14.04271], [65.26025, -14.04261], [65.26033, -14.04257], [65.26041, -14.04261], [65.26055, -14.04264], [65.26064, -14.04256], [65.26071, -14.04239], [65.26087, -14.04212], [65.26102, -14.04189], [65.26114, -14.04171], [65.26141, -14.04128], [65.26157, -14.04133], [65.26163, -14.04142], [65.2618, -14.04161], [65.26195, -14.04166], [65.26206, -14.04168], [65.26219, -14.04168], [65.26224, -14.04163], [65.26231, -14.0415], [65.26246, -14.04088], [65.26251, -14.04054], [65.26257, -14.04019], [65.26263, -14.04], [65.26271, -14.03981], [65.26286, -14.0396], [65.26302, -14.03936], [65.26312, -14.03918], [65.2633, -14.03898]]",,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/6893ead8d16cec3d5b40e35b_68801cd49a022c1a2198c6ad_gigjokull%20track%20thorsmrok7175.jpg,,Close glacier approach track.,Medium-Hard,5.3,2 hours,Rocky,Narrow tracks,
Botnlangalón Track,"[[63.97051, -18.80867], [63.97058, -18.80901], [63.97066, -18.80924], [63.97111, -18.80975], [63.97137, -18.80991], [63.97179, -18.81039], [63.97191, -18.81042], [63.97203, -18.81038], [63.97224, -18.81025], [63.97299, -18.80959], [63.97417, -18.80822], [63.97442, -18.80816], [63.97456, -18.80823], [63.9747, -18.8084], [63.97484, -18.8088], [63.97503, -18.80921], [63.97672, -18.81091], [63.97737, -18.81179], [63.97753, -18.81189], [63.97768, -18.81184], [63.97819, -18.81162], [63.97843, -18.81162], [63.97852, -18.8117], [63.97862, -18.81192], [63.97871, -18.81217], [63.9788, -18.81239], [63.97887, -18.81245], [63.97894, -18.81247], [63.97898, -18.81248], [63.97901, -18.81249], [63.97909, -18.8125], [63.97918, -18.81252], [63.97939, -18.81258], [63.97947, -18.81258], [63.97951, -18.81258], [63.97963, -18.81256], [63.97968, -18.81245], [63.97973, -18.81237], [63.97982, -18.81196], [63.97985, -18.81184], [63.98017, -18.81065], [63.98029, -18.80994], [63.98033, -18.80888], [63.98038, -18.80872], [63.98044, -18.80864], [63.98051, -18.80864], [63.98058, -18.80862], [63.98079, -18.80835], [63.98106, -18.80819], [63.98154, -18.80885], [63.98197, -18.80941], [63.98215, -18.80967], [63.98231, -18.81007], [63.98255, -18.81065], [63.98281, -18.81112], [63.98299, -18.81147], [63.98316, -18.81174], [63.9833, -18.81196], [63.98352, -18.81206], [63.9837, -18.81209], [63.98381, -18.81215], [63.9839, -18.81237], [63.98403, -18.81293], [63.98433, -18.81417], [63.98472, -18.8146], [63.98498, -18.81495], [63.98523, -18.81529], [63.98547, -18.81549], [63.98577, -18.81531], [63.98609, -18.81542], [63.98639, -18.81585], [63.98661, -18.81739], [63.98674, -18.81781], [63.98688, -18.81813], [63.98708, -18.81844], [63.98732, -18.81844], [63.9878, -18.81863], [63.98815, -18.81864], [63.98833, -18.8185], [63.98846, -18.81831], [63.98875, -18.81769], [63.9889, -18.81739], [63.98905, -18.81731], [63.98927, -18.81723], [63.98951, -18.81728], [63.98974, -18.81722], [63.99021, -18.81677], [63.99051, -18.81666], [63.99081, -18.81666], [63.99094, -18.81648], [63.99101, -18.81642], [63.99107, -18.81645], [63.99129, -18.81658], [63.9915, -18.81692], [63.99201, -18.81773], [63.99222, -18.8181], [63.99244, -18.81834], [63.99266, -18.81834], [63.99283, -18.81825], [63.99301, -18.81827], [63.99316, -18.81851], [63.99347, -18.81945], [63.99353, -18.81963], [63.99373, -18.81972], [63.99383, -18.81959], [63.99399, -18.81962], [63.99446, -18.81958], [63.99456, -18.8195], [63.99464, -18.81931], [63.99469, -18.81909], [63.99472, -18.81872], [63.99502, -18.81752], [63.99544, -18.81726], [63.99559, -18.81768], [63.9957, -18.81795], [63.99626, -18.81782], [63.99734, -18.81606], [63.99768, -18.81559], [63.99892, -18.81349], [64, -18.81302], [64.00009, -18.81297], [64.00133, -18.81271], [64.00189, -18.81254], [64.00206, -18.81233], [64.00279, -18.81143], [64.00313, -18.81151], [64.00331, -18.8116], [64.0039, -18.8125], [64.00558, -18.81284], [64.00579, -18.81306], [64.00609, -18.8131], [64.00652, -18.8131], [64.00704, -18.81306], [64.00772, -18.81284], [64.00858, -18.80997], [64.00862, -18.80967], [64.00923, -18.80761], [64.00965, -18.80559], [64.01073, -18.80392], [64.0109, -18.80357], [64.01176, -18.80005], [64.0118, -18.80001], [64.01206, -18.79967], [64.01214, -18.79963], [64.01236, -18.79911], [64.01248, -18.79804], [64.01279, -18.79731], [64.01382, -18.79709], [64.01416, -18.79739], [64.01459, -18.79825], [64.01489, -18.79838], [64.01502, -18.79842], [64.01567, -18.79932], [64.01605, -18.80001], [64.01631, -18.80044], [64.01635, -18.80177], [64.01639, -18.80272], [64.01644, -18.80323], [64.01665, -18.80473], [64.01721, -18.80585], [64.01773, -18.80649], [64.01794, -18.80658], [64.01828, -18.80684], [64.01841, -18.80701], [64.01858, -18.80731], [64.01863, -18.80701], [64.01892, -18.80649], [64.01927, -18.80615], [64.01953, -18.80585], [64.02043, -18.80537], [64.02085, -18.80508], [64.0215, -18.80486], [64.02236, -18.80537], [64.02313, -18.80671], [64.0236, -18.80795], [64.02399, -18.80812], [64.02463, -18.80864], [64.02476, -18.80907], [64.02497, -18.80997], [64.02523, -18.81048], [64.02553, -18.811], [64.02584, -18.81199], [64.02597, -18.81216], [64.026, -18.81181], [64.02584, -18.80937], [64.02587, -18.8089], [64.02602, -18.80815], [64.02613, -18.80756], [64.02643, -18.80701], [64.0269, -18.80739], [64.02708, -18.80774], [64.02729, -18.80787], [64.02752, -18.80825], [64.02777, -18.80868], [64.02785, -18.80881], [64.02906, -18.81121], [64.02927, -18.81186], [64.02991, -18.81229], [64.03047, -18.81207], [64.0318, -18.81254], [64.03287, -18.81254], [64.03416, -18.81173], [64.03493, -18.81108], [64.0354, -18.81014], [64.03665, -18.80881], [64.03764, -18.80821], [64.0381, -18.80821], [64.03836, -18.80821], [64.03879, -18.80812], [64.03901, -18.80799], [64.03923, -18.80799], [64.0397, -18.80842], [64.04021, -18.80825], [64.04064, -18.80808], [64.04111, -18.80769], [64.04141, -18.80778], [64.04154, -18.80756], [64.04184, -18.80615], [64.0418, -18.80516], [64.04189, -18.80478], [64.04219, -18.80362], [64.04232, -18.80314], [64.04232, -18.80272], [64.04244, -18.80224], [64.04283, -18.80104], [64.04309, -18.80001], [64.04347, -18.79855], [64.0436, -18.79821], [64.04373, -18.79804], [64.04403, -18.79748], [64.04412, -18.79722], [64.04428, -18.79662], [64.04433, -18.79632], [64.04433, -18.79572], [64.04476, -18.79512], [64.04544, -18.79387], [64.04605, -18.79289], [64.04613, -18.79259], [64.04613, -18.79216], [64.04613, -18.7916], [64.04622, -18.79104], [64.04665, -18.78958], [64.04729, -18.7892], [64.04763, -18.78894], [64.04747, -18.78864], [64.04691, -18.78791], [64.04691, -18.78688], [64.04647, -18.78598], [64.04695, -18.78405], [64.04712, -18.78336], [64.04716, -18.78259], [64.04738, -18.78203], [64.04747, -18.7816], [64.04781, -18.78139], [64.04785, -18.78109], [64.04789, -18.78083], [64.04802, -18.7807], [64.0484, -18.78057], [64.04879, -18.7807], [64.04935, -18.7804], [64.04956, -18.78014], [64.04948, -18.78031], [64.04956, -18.78018], [64.04995, -18.77963], [64.0503, -18.77907], [64.05059, -18.77783], [64.0509, -18.77701], [64.05214, -18.77469], [64.05343, -18.77212], [64.05364, -18.77121], [64.05386, -18.76946], [64.05412, -18.76838], [64.05425, -18.76757], [64.0542, -18.76585], [64.05403, -18.76508], [64.05399, -18.76461], [64.05394, -18.76422], [64.05309, -18.76126], [64.05261, -18.75834], [64.05261, -18.7577], [64.05274, -18.7571], [64.05403, -18.75538], [64.05502, -18.75452], [64.05631, -18.75255], [64.05686, -18.75169], [64.05703, -18.75147], [64.05785, -18.74984], [64.05845, -18.74744], [64.05854, -18.74675], [64.05845, -18.74551], [64.05875, -18.74418], [64.05883, -18.74358], [64.05892, -18.74336], [64.05901, -18.74306], [64.05922, -18.74238], [64.05957, -18.73976], [64.05986, -18.7383], [64.06051, -18.73688], [64.06107, -18.73615], [64.06163, -18.73512], [64.06192, -18.73452], [64.06282, -18.73233], [64.06343, -18.73126], [64.06347, -18.73049], [64.06282, -18.72843], [64.06257, -18.72757], [64.06253, -18.72719], [64.06249, -18.72667], [64.06236, -18.72616], [64.06184, -18.72474], [64.06171, -18.72397], [64.06188, -18.72332], [64.06201, -18.72341], [64.06249, -18.72362], [64.06291, -18.72422], [64.06317, -18.72461], [64.0636, -18.72482], [64.06433, -18.7268], [64.06455, -18.72675], [64.06497, -18.72753], [64.06523, -18.72822], [64.06557, -18.72809], [64.06566, -18.72778], [64.0657, -18.72521], [64.06609, -18.72216], [64.06665, -18.71959], [64.06772, -18.71573], [64.06939, -18.71319], [64.07128, -18.71083], [64.07244, -18.70817], [64.07304, -18.7065], [64.07398, -18.70517], [64.07476, -18.70392], [64.07596, -18.70096], [64.07634, -18.70002], [64.07793, -18.69581], [64.07952, -18.69169], [64.08029, -18.68998], [64.08162, -18.68843], [64.08312, -18.68611], [64.08476, -18.68247], [64.08669, -18.67779], [64.08789, -18.67487], [64.08956, -18.67049], [64.09098, -18.66723], [64.09214, -18.6638], [64.09246, -18.66262], [64.09246, -18.66262], [64.09304, -18.66049], [64.09326, -18.65998], [64.09334, -18.65989], [64.09347, -18.65955], [64.09347, -18.65856], [64.09355, -18.65826], [64.0939, -18.65813], [64.09416, -18.6574], [64.09424, -18.65715], [64.0948, -18.65599], [64.09519, -18.65539], [64.09635, -18.65431], [64.09725, -18.65333], [64.09815, -18.65247], [64.09913, -18.6517], [64.09999, -18.65148], [64.10029, -18.65139], [64.10098, -18.65131], [64.10195, -18.65118], [64.102, -18.65116], [64.10233, -18.65109], [64.10242, -18.65099], [64.10253, -18.65079], [64.10255, -18.65072]]",,https://cdn.prod.website-files.com/687ebffd20183c0459d68784/6893ead8d16cec3d5b40e35b_68801cd49a022c1a2198c6ad_gigjokull%20track%20thorsmrok7175.jpg,,Close glacier approach track.,Hard,24.7,2 hours,Rocky,Narrow tracks,
